genus,family,order,group,accepted_bin,mono_fern
Acacia,Leguminosae,Fabales,Angiosperms,Acacia gonoclada,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia grandifolia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia grasbyi,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia greggii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia wrightii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia riparia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia hakeoides,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia hamersleyensis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia hammondii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia harpophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia havilandiorum,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia hemignosta,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia hemsleyi,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia heteroclita,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia heterophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia hindsii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia holosericea,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia holotricha,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia homaloclada,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia howittii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia hylonoma,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia implexa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia inaequilatera,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia inceana,FALSE
